1000 125 0,1 1550 1000 9518300 39696745,0468 54173850,07997
1000 125 0,2 3102 1000 8817200 37618507,59198 42087496,5877
1000 125 0,30000000000000004 4638 1000 7948600 24587816,55917 25682140,37454
1000 125 0,4 6193 1000 7827200 18066621,11719 18467172,6247
1000 125 0,5 7749 1000 7278300 17640342,86664 17796896,41518
1000 125 0,6 9301 1000 7155000 21580395,75897 21712991,02265
1000 125 0,7 10851 1000 7835000 30432024,97594 30589640,66747
1000 125 0,7999999999999999 12401 1000 7473600 30230289,82093 30289428,66801
1000 125 0,8999999999999999 13949 1000 7023700 35152594,73323 35173627,27639
1000 125 0,9999999999999999 15500 1000 6788700 27846340,22507 27846340,22507
1000 150 0,1 2229 1000 11661000 37798548,81259 48364320,95451
1000 150 0,2 4475 1000 10222400 37409119,61335 40942087,79324
1000 150 0,30000000000000004 6706 1000 9860700 27542072,2243 28676630,26756
1000 150 0,4 8938 1000 9154600 19349112,50237 19682540,68827
1000 150 0,5 11172 1000 9867000 21789314,47099 22017040,43519
1000 150 0,6 13414 1000 8879000 37371970,13401 37555322,79912
1000 150 0,7 15642 1000 8710700 24980129,31356 25063306,33692
1000 150 0,7999999999999999 17883 1000 8922900 25835715,54162 25868382,64254
1000 150 0,8999999999999999 20113 1000 8223200 21442631,76841 21453373,67217
1000 150 0,9999999999999999 22350 1000 9097800 22497705,61257 22497705,61257
1000 175 0,1 3040 1000 25240500 17995496,12279 21404953,47609
1000 175 0,2 6086 1000 11122400 17534394,94413 18202050,0977
1000 175 0,30000000000000004 9129 1000 11713100 24234389,54882 25041187,01039
1000 175 0,4 12175 1000 12657500 21290637,52272 21735220,3206
1000 175 0,5 15223 1000 12368900 27545008,44306 27801133,86667
1000 175 0,6 18269 1000 11142600 30135353,10393 30331956,04497
1000 175 0,7 21316 1000 10707100 25475349,49102 25542532,06683
1000 175 0,7999999999999999 24352 1000 10782000 28846681,07468 28894427,97568
1000 175 0,8999999999999999 27403 1000 10255400 32584978,34031 32600571,54428
1000 175 0,9999999999999999 30450 1000 10278900 33843110,03374 33843110,03374
1000 200 0,1 3981 1000 14114700 35363402,74805 43740927,86141
1000 200 0,2 7958 1000 13895400 25516871,81154 26924762,05902
1000 200 0,30000000000000004 11938 1000 12836400 26467806,37398 27026700,21594
1000 200 0,4 15919 1000 13548400 22455416,82934 22749509,29247
1000 200 0,5 19899 1000 13292100 32725995,28719 32984636,87734
1000 200 0,6 23878 1000 12429000 20627142,83942 20693564,60349
1000 200 0,7 27864 1000 12715300 22794308,90409 22860216,50299
1000 200 0,7999999999999999 31838 1000 12641200 21662109,38065 21678118,29988
1000 200 0,8999999999999999 35826 1000 12818200 29099946,74512 29124062,433
1000 200 0,9999999999999999 39800 1000 12244700 30063766,05179 30063766,05179
1000 225 0,1 5040 1000 16761600 37075042,05041 44208435,48242
1000 225 0,2 10079 1000 14228400 27777125,61702 29252524,01591
1000 225 0,30000000000000004 15114 1000 15094300 30382917,80823 31010997,04935
1000 225 0,4 20162 1000 15523500 27531372,81662 27934361,45995
1000 225 0,5 25205 1000 14456200 34146332,53004 34430201,62235
1000 225 0,6 30240 1000 16216400 27933254,47249 28019746,48144
1000 225 0,7 35273 1000 17926300 29267102,12784 29322346,11829
1000 225 0,7999999999999999 40311 1000 15081300 22134378,41686 22143027,19306
1000 225 0,8999999999999999 45361 1000 14679300 23695029,15312 23702954,18908
1000 225 0,9999999999999999 50400 1000 14691600 29083414,06978 29083414,06978
1000 250 0,1 6219 1000 22028700 29200915,48142 35302254,83292
1000 250 0,2 12454 1000 19401400 30467899,80104 32143841,82402
1000 250 0,30000000000000004 18674 1000 18380700 34182056,25658 34910936,41632
1000 250 0,4 24894 1000 18556700 24951541,12659 25200686,90827
1000 250 0,5 31126 1000 19062300 31228611,96063 31367411,11835
1000 250 0,6 37355 1000 17816900 21142808,69851 21197214,47696
1000 250 0,7 43568 1000 17359200 23189534,20187 23225726,02069
1000 250 0,7999999999999999 49801 1000 17623700 27626242,50965 27654008,06244
1000 250 0,8999999999999999 56026 1000 16463500 31264691,6275 31276326,66183
1000 250 0,9999999999999999 62250 1000 15205300 29931155,92375 29931155,92375
1000 275 0,1 7536 1000 19717400 39596199,96491 44914894,39495
1000 275 0,2 15068 1000 20001400 21835524,09044 22599588,24502
1000 275 0,30000000000000004 22603 1000 20231700 21339300,89253 21728065,10751
1000 275 0,4 30124 1000 18950300 23252579,68392 23394066,03987
1000 275 0,5 37687 1000 20535800 27401028,98764 27550390,60781
1000 275 0,6 45205 1000 19912400 29654952,43558 29724163,06729
1000 275 0,7 52746 1000 21399900 30526215,00362 30561744,0526
1000 275 0,7999999999999999 60280 1000 20130800 24683231,83593 24701998,28915
1000 275 0,8999999999999999 67812 1000 19024500 25557858,73792 25565453,42502
1000 275 0,9999999999999999 75350 1000 18548400 30657559,66443 30657559,66443
1000 300 0,1 8969 1000 23985800 31160353,42631 35124991,5995
1000 300 0,2 17936 1000 23262000 25334298,81521 26309177,0584
1000 300 0,30000000000000004 26911 1000 23253400 20495415,51716 20843059,95306
1000 300 0,4 35884 1000 22991800 23310390,94067 23508301,28316
1000 300 0,5 44850 1000 21182700 25298532,22705 25419060,47332
1000 300 0,6 53821 1000 20984300 32507442,16292 32567461,62862
1000 300 0,7 62783 1000 23737000 27169468,125 27213337,72036
1000 300 0,7999999999999999 71750 1000 19554700 23318613,66432 23324637,86051
1000 300 0,8999999999999999 80738 1000 19493200 29434134,80512 29439593,40494
1000 300 0,9999999999999999 89700 1000 20122700 25646926,52152 25646926,52152
1000 325 0,1 10524 1000 24426900 26647581,6506 30364679,55863
1000 325 0,2 21068 1000 23850000 30934395,8583 32110135,53072
1000 325 0,30000000000000004 31595 1000 22640300 28562584,50587 28987072,77107
1000 325 0,4 42132 1000 22864600 32967726,07942 33215930,03456
1000 325 0,5 52656 1000 23887800 28137432,4662 28228333,87741
1000 325 0,6 63171 1000 22896500 24984558,2441 25039903,92406
1000 325 0,7 73718 1000 22359800 24423682,60484 24456248,5764
1000 325 0,7999999999999999 84242 1000 23036600 29392488,62521 29408305,4243
1000 325 0,8999999999999999 94762 1000 22959000 25414120,49246 25420644,10934
1000 325 0,9999999999999999 105300 1000 22104200 27578819,87736 27578819,87736
1000 350 0,1 12218 1000 28879600 21966926,19805 24644648,9034
1000 350 0,2 24427 1000 28719400 26016183,84806 26953780,4358
1000 350 0,30000000000000004 36643 1000 25968400 27599427,55819 28029112,59441
1000 350 0,4 48859 1000 27167500 33906948,36916 34174580,23967
1000 350 0,5 61083 1000 25675900 25503749,55925 25585240,13482
1000 350 0,6 73285 1000 25838100 24675846,51149 24722458,22798
1000 350 0,7 85501 1000 25665000 30564549,33129 30592283,8253
1000 350 0,7999999999999999 97714 1000 24683000 26510599,05261 26522017,57671
1000 350 0,8999999999999999 109930 1000 23958600 27586901,97092 27593836,92007
1000 350 0,9999999999999999 122150 1000 27135800 27532278,72752 27532278,72752
1000 375 0,1 14026 1000 28587400 24833481,90793 27351026,32975
1000 375 0,2 28048 1000 27909300 26316118,6415 27108467,97432
1000 375 0,30000000000000004 42076 1000 26874900 25939559,59421 26282297,97267
1000 375 0,4 56097 1000 27905600 32917203,75263 33128128,65188
1000 375 0,5 70122 1000 27020200 23303142,87543 23365176,41806
1000 375 0,6 84147 1000 28461300 27586712,1093 27654679,83471
1000 375 0,7 98170 1000 28028300 27509776,92963 27537440,98093
1000 375 0,7999999999999999 112193 1000 28790000 27186646,99472 27197771,2611
1000 375 0,8999999999999999 126226 1000 26724600 28063143,2388 28072635,08374
1000 375 0,9999999999999999 140250 1000 25642200 26648201,58211 26648201,58211
1000 400 0,1 15961 1000 27743600 19260100,26725 21075338,11309
1000 400 0,2 31921 1000 31640900 27351437,9634 28154715,96525
1000 400 0,30000000000000004 47884 1000 29060200 23360562,50286 23624902,96508
1000 400 0,4 63832 1000 29073500 30549549,30491 30745586,61943
1000 400 0,5 79795 1000 28925400 26782940,96564 26868025,67577
1000 400 0,6 95760 1000 30571000 28549074,43906 28607814,22487
1000 400 0,7 111724 1000 29204500 24674812,72225 24710627,50165
1000 400 0,7999999999999999 127675 1000 26475000 27029794,5263 27040636,71158
1000 400 0,8999999999999999 143642 1000 26441400 26895668,62509 26898293,40999
1000 400 0,9999999999999999 159600 1000 26296600 28233951,20375 28233951,20375
1000 425 0,1 18025 1000 34630000 27917052,97863 30783994,55223
1000 425 0,2 36041 1000 32225100 26224161,42538 26848214,46583
1000 425 0,30000000000000004 54064 1000 30777300 24357576,52389 24618280,0118
1000 425 0,4 72075 1000 33104700 29815266,49526 29971249,2385
1000 425 0,5 90116 1000 32451500 24702853,40162 24767530,37148
1000 425 0,6 108139 1000 29746900 29547102,48938 29598910,91174
1000 425 0,7 126133 1000 32334200 27650388,36433 27666961,7166
1000 425 0,7999999999999999 144164 1000 27439100 27044558,352 27049694,06019
1000 425 0,8999999999999999 162174 1000 28276400 25993245,79273 25998829,20643
1000 425 0,9999999999999999 180200 1000 28987600 28582486,93554 28582486,93554
1000 450 0,1 20218 1000 33261700 22477303,69528 24174161,99676
1000 450 0,2 40412 1000 33974200 24218088,11054 24901895,89413
1000 450 0,30000000000000004 60620 1000 33746000 28209379,4618 28554451,22602
1000 450 0,4 80821 1000 31773400 31211190,12195 31353600,35586
1000 450 0,5 101039 1000 34187200 25329393,10948 25413609,24746
1000 450 0,6 121237 1000 30840300 27119218,52183 27142095,11328
1000 450 0,7 141445 1000 31135900 26498166,15302 26515069,41387
1000 450 0,7999999999999999 161658 1000 36427900 27377563,13245 27387050,05794
1000 450 0,8999999999999999 181840 1000 31566000 26377994,88872 26383818,94026
1000 450 0,9999999999999999 202050 1000 30912400 28094883,79992 28094883,79992
1000 475 0,1 22519 1000 33227000 23590944,77123 25338742,02341
1000 475 0,2 45038 1000 34720700 25892353,45677 26569924,26672
1000 475 0,30000000000000004 67548 1000 32511000 26174640,54723 26398460,59794
1000 475 0,4 90076 1000 33649400 28709781,35215 28858823,51399
1000 475 0,5 112575 1000 32564200 25682487,63968 25737857,90843
1000 475 0,6 135101 1000 38090100 28195867,61169 28246482,33027
1000 475 0,7 157604 1000 34023500 28439495,61367 28453530,10462
1000 475 0,7999999999999999 180120 1000 32811000 26061499,00799 26076553,27391
1000 475 0,8999999999999999 202645 1000 33246600 28132285,1421 28134064,03344
1000 475 0,9999999999999999 225150 1000 31957600 27572673,47806 27572673,47806
1000 500 0,1 24951 1000 40291100 23384634,69031 25144215,62048
1000 500 0,2 49892 1000 35766800 22203926,22391 22679831,9535
1000 500 0,30000000000000004 74848 1000 34534200 29083025,37855 29349279,41517
1000 500 0,4 99797 1000 36417700 28943865,71724 29076898,55803
1000 500 0,5 124751 1000 39484300 28237959,38205 28295644,33466
1000 500 0,6 149711 1000 35471900 26245493,63188 26272735,35367
1000 500 0,7 174653 1000 33082300 26635773,77953 26649551,08654
1000 500 0,7999999999999999 199614 1000 39324700 26641285,77076 26654995,04175
1000 500 0,8999999999999999 224553 1000 33903500 27982902,12768 27983932,4755
1000 500 0,9999999999999999 249500 1000 33929600 25793743,20569 25793743,20569
